UID          PID    PPID  C STIME TTY          TIME CMD
root          86       2  0 17:15 ?        00:00:00 [irq/40-pciehp]
root          87       2  0 17:15 ?        00:00:00 [irq/41-pciehp]
root          88       2  0 17:15 ?        00:00:00 [irq/42-pciehp]
root          89       2  0 17:15 ?        00:00:00 [irq/43-pciehp]
root          90       2  0 17:15 ?        00:00:00 [irq/44-pciehp]
root          91       2  0 17:15 ?        00:00:00 [irq/45-pciehp]
root          92       2  0 17:15 ?        00:00:00 [irq/46-pciehp]
root          93       2  0 17:15 ?        00:00:00 [irq/47-pciehp]
root          94       2  0 17:15 ?        00:00:00 [irq/48-pciehp]
root          95       2  0 17:15 ?        00:00:00 [irq/49-pciehp]
root          96       2  0 17:15 ?        00:00:00 [irq/50-pciehp]
root          97       2  0 17:15 ?        00:00:00 [irq/51-pciehp]
root          98       2  0 17:15 ?        00:00:00 [irq/52-pciehp]
root          99       2  0 17:15 ?        00:00:00 [irq/53-pciehp]
root         100       2  0 17:15 ?        00:00:00 [irq/54-pciehp]
root         101       2  0 17:15 ?        00:00:00 [irq/55-pciehp]
root         102       2  0 17:15 ?        00:00:00 [acpi_thermal_pm]
root         103       2  0 17:15 ?        00:00:00 [xenbus_probe]
root         104       2  0 17:15 ?        00:00:00 [mld]
root         105       2  0 17:15 ?        00:00:00 [ipv6_addrconf]
root         106       2  0 17:15 ?        00:00:00 [kworker/3:1H-kblockd]
root         111       2  0 17:15 ?        00:00:00 [kstrp]
root         116       2  0 17:15 ?        00:00:00 [zswap-shrink]
root         117       2  0 17:15 ?        00:00:00 [kworker/u65:0-hci0]
root         183       2  0 17:15 ?        00:00:00 [kworker/1:1H-kblockd]
root         184       2  0 17:15 ?        00:00:00 [kworker/0:1H-kblockd]
root         185       2  0 17:15 ?        00:00:00 [cryptd]
root         186       2  0 17:15 ?        00:00:00 [ata_sff]
root         187       2  0 17:15 ?        00:00:00 [mpt_poll_0]
root         188       2  0 17:15 ?        00:00:00 [mpt/0]
root         191       2  0 17:15 ?        00:00:00 [scsi_eh_0]
root         193       2  0 17:15 ?        00:00:00 [scsi_tmf_0]
root         194       2  0 17:15 ?        00:00:00 [irq/16-vmwgfx]
root         195       2  0 17:15 ?        00:00:00 [scsi_eh_1]
root         196       2  0 17:15 ?        00:00:00 [ttm]
root         197       2  0 17:15 ?        00:00:00 [scsi_tmf_1]
root         247       2  0 17:15 ?        00:00:00 [scsi_eh_2]
root         248       2  0 17:15 ?        00:00:00 [scsi_tmf_2]
root         287       2  0 17:15 ?        00:00:00 [jbd2/sda1-8]
root         288       2  0 17:15 ?        00:00:00 [ext4-rsv-conver]
root         344       1  0 17:15 ?        00:00:00 /lib/systemd/systemd-journald
root         364       1  0 17:15 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root         381       1  0 17:15 ?        00:00:00 /lib/systemd/systemd-udevd
root         395       2  0 17:15 ?        00:00:00 [psimon]
root         399       2  0 17:15 ?        00:00:00 [psimon]
root         455       2  0 17:15 ?        00:00:00 [kworker/1:2H-kblockd]
root         513       2  0 17:15 ?        00:00:00 [irq/56-vmw_vmci]
root         516       2  0 17:15 ?        00:00:00 [irq/57-vmw_vmci]
root         538       1  0 17:15 ?        00:00:00 /usr/sbin/haveged --Foreground --verbose=1
root         555       1  0 17:15 ?        00:00:10 /usr/bin/vmtoolsd
message+     567       1  0 17:15 ?        00:00:01 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
polkitd      572       1  0 17:15 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root         576       1  0 17:15 ?        00:00:00 /lib/systemd/systemd-logind
root         637       2  0 17:15 ?        00:00:00 [rpciod]
root         638       2  0 17:15 ?        00:00:00 [xprtiod]
root         645       1  0 17:15 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         667       2  0 17:15 ?        00:00:00 [psimon]
root         687       2  0 17:15 ?        00:00:00 [kworker/u65:1-hci0]
root         692       1  0 17:15 ?        00:00:00 /usr/sbin/cron -f
root         721       1  0 17:15 ?        00:00:00 /usr/sbin/ModemManager
root         806       1  0 17:15 ?        00:00:00 /usr/sbin/lightdm
